107       {METHOD:METHOD_CALL:REMOVED:global:stringify:1.0 CLASS:METHOD_CALL:REMOVED:global:JSON:1.0}: ClusterID = 202, Instances = 10, Complexity = 1, BasicChanges = 2, ProjectCount = 6
108       {RESERVED:CONDITION:INSERTED:global:sheq:1.0 RESERVED:STATEMENT:INSERTED:global:return:1.0 RESERVED:CONDITION:INSERTED:global:typeof:1.0}: ClusterID = 155, Instances = 10, Complexity = 2, BasicChanges = 3, ProjectCount = 8
109       {RESERVED:CONDITION:REMOVED:global:falsey:3.0}: ClusterID = 149, Instances = 10, Complexity = 2, BasicChanges = 1, ProjectCount = 8
110       {RESERVED:CONDITION:INSERTED:global:sheq:1.0 RESERVED:CONDITION:INSERTED:global:typeof:1.0 RESERVED:STATEMENT:UPDATED:global:var:1.0}: ClusterID = 147, Instances = 10, Complexity = 2, BasicChanges = 3, ProjectCount = 8
111       {RESERVED:CONDITION:INSERTED:global:sheq:1.0 METHOD:METHOD_CALL:INSERTED:global:indexOf:1.0}: ClusterID = 113, Instances = 10, Complexity = 1, BasicChanges = 2, ProjectCount = 9
112       {RESERVED:STATEMENT:INSERTED:global:return:1.0 RESERVED:CONDITION:INSERTED:global:null:1.0 RESERVED:CONDITION:INSERTED:global:typeof:1.0}: ClusterID = 110, Instances = 10, Complexity = 2, BasicChanges = 3, ProjectCount = 6
113       {RESERVED:ASSIGNMENT_RHS:REMOVED:global:this:1.0}: ClusterID = 73, Instances = 10, Complexity = 1, BasicChanges = 1, ProjectCount = 9
114       {RESERVED:CONDITION:INSERTED:global:this:1.0}: ClusterID = 64, Instances = 10, Complexity = 1, BasicChanges = 1, ProjectCount = 10
115       {RESERVED:ASSIGNMENT_LHS:INSERTED:global:this:1.0 RESERVED:ASSIGNMENT_RHS:INSERTED:global:true:1.0}: ClusterID = 26, Instances = 10, Complexity = 1, BasicChanges = 2, ProjectCount = 6
116       {RESERVED:CONDITION:INSERTED:global:sheq:1.0 RESERVED:CONDITION:INSERTED:global:falsey:1.0}: ClusterID = 7, Instances = 10, Complexity = 2, BasicChanges = 2, ProjectCount = 9
117       {RESERVED:ARGUMENT:INSERTED:global:callback:1.0}: ClusterID = 4, Instances = 10, Complexity = 1, BasicChanges = 1, ProjectCount = 6
118       {METHOD:METHOD_CALL:REMOVED:global:replace:1.0 RESERVED:STATEMENT:UPDATED:global:return:1.0}: ClusterID = 225, Instances = 9, Complexity = 1, BasicChanges = 2, ProjectCount = 8
119       {RESERVED:STATEMENT:INSERTED:global:var:1.0 RESERVED:ASSIGNMENT_RHS:INSERTED:global:this:1.0}: ClusterID = 215, Instances = 9, Complexity = 5, BasicChanges = 2, ProjectCount = 7
