"","Cluster","nome_coluna","V1"
"92",39,"RESERVED.METHOD_CALL.INSERTED.global.this; RESERVED.STATEMENT.INSERTED.global.new",1
"93",40,"RESERVED.METHOD_CALL.INSERTED.global.this; RESERVED.STATEMENT.UPDATED.global.new",43
"94",40,"RESERVED.METHOD_CALL.INSERTED.global.this; RESERVED.STATEMENT.UPDATED.global.new",2
"95",41,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.false; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.INSERTED.global.new",21
"96",41,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.false; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.INSERTED.global.new",3
"97",41,"RESERVED.ASSIGNMENT_RHS.INSERTED.global.false; RESERVED.STATEMENT.UPDATED.global.var; RESERVED.STATEMENT.UPDATED.global.new; RESERVED.ASSIGNMENT_LHS.INSERTED.global.new; RESERVED.STATEMENT.INSERTED.global.new",1
"98",42,"METHOD.METHOD_CALL.INSERTED.global.concat; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.STATEMENT.UPDATED.global.new",7
"99",42,"METHOD.METHOD_CALL.INSERTED.global.concat; RESERVED.STATEMENT.INSERTED.global.new; RESERVED.STATEMENT.UPDATED.global.new",1
"100",43,"RESERVED.ASSIGNMENT_RHS.REMOVED.global.false; RESERVED.STATEMENT.UPDATED.global.new",29
"101",43,"RESERVED.ASSIGNMENT_RHS.REMOVED.global.false; RESERVED.STATEMENT.UPDATED.global.new",1
"102",44,"RESERVED.ASSIGNMENT_RHS.REMOVED.global.false; RESERVED.EXCEPTION_CATCH.REMOVED.global.error",6
"103",44,"RESERVED.ASSIGNMENT_RHS.REMOVED.global.false; RESERVED.EXCEPTION_CATCH.REMOVED.global.error",1
"104",45,"FIELD.CONDITION.INSERTED.global.length; RESERVED.STATEMENT.UPDATED.global.new",11
"105",45,"FIELD.CONDITION.INSERTED.global.length; RESERVED.STATEMENT.UPDATED.global.new",1
"106",46,"METHOD.METHOD_CALL.INSERTED.global.replace; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.METHOD_CALL.REMOVED.global.error; RESERVED.STATEMENT.UPDATED.global.new",67
"107",46,"METHOD.METHOD_CALL.INSERTED.global.replace; RESERVED.EXPRESSION.UPDATED.global.error; RESERVED.METHOD_CALL.REMOVED.global.error; RESERVED.STATEMENT.UPDATED.global.new",1
