@relation DataSet-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.RemoveByName-E.*UNCHANGED.*-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.RemoveByName-E(.*:global:test)

@attribute ID numeric
@attribute ProjectID string
@attribute BugFixingCommit string
@attribute CommitURL string
@attribute BuggyCommitID string
@attribute RepairedCommitID string
@attribute Class string
@attribute Method string
@attribute Cluster string
@attribute ModifiedStatementCount numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ForInLoop numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ForInLoop numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:EmptyStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:EmptyStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:EmptyStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:ExpressionStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:ExpressionStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ExpressionStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ExpressionStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:FunctionNode numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:FunctionNode numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:FunctionNode numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:FunctionNode numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:IfStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:IfStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:IfStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:IfStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:BreakStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:BreakStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:BreakStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:ReturnStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ReturnStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ReturnStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:ReturnStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:TryStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:TryStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:TryStatement numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:SwitchStatement numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:SwitchStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:SwitchStatement numeric
@attribute UNKNOWN:UNKNOWN:UPDATED:unknown:VariableDeclaration numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:VariableDeclaration numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:VariableDeclaration numeric
@attribute UNKNOWN:UNKNOWN:MOVED:unknown:VariableDeclaration numeric
@attribute UNKNOWN:UNKNOWN:REMOVED:unknown:ThrowStatement numeric
@attribute UNKNOWN:UNKNOWN:INSERTED:unknown:ThrowStatement numeric

@data
345,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/eb9819e9c476dddb4efa5827f642073e2386c265,079b84e668573793c7e2b80a541b32acaa71a7e7,eb9819e9c476dddb4efa5827f642073e2386c265,'\'ClassNA\'','\'MethodNA\'','?',1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
355,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/4da975753aacd70ca845a7b73e91315a189f63df,53afe1df0b9c49c0c8dc360a3634baebb44e29e7,4da975753aacd70ca845a7b73e91315a189f63df,'\'ClassNA\'','\'MethodNA\'','?',1.2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
367,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/4d3710fdee01b947270a107b94523559c64f552b,ef88c6b4d918f9225fb05cf4e8326e12c0260bfa,4d3710fdee01b947270a107b94523559c64f552b,'\'ClassNA\'','\'MethodNA\'','?',0.6,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
369,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/ef88c6b4d918f9225fb05cf4e8326e12c0260bfa,c8f52b2f8724a1abf37588d0e02f6c48387e36f5,ef88c6b4d918f9225fb05cf4e8326e12c0260bfa,'\'ClassNA\'','\'MethodNA\'','?',0.8,0,0,0,0,0,0,14,2,0,0,4,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/6e07e7ce993ccedc28dc8480cc996b8a2b016089,4ef2df8874058daf076ee44ade7cf4ceb03530d7,6e07e7ce993ccedc28dc8480cc996b8a2b016089,'\'ClassNA\'','\'MethodNA\'','?',0.8,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
401,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/0bed84ec5bd85278f653e6f732e7ad53c5651a0a,25cda3fbb6062ea72b5f458ae520311caa2b413c,0bed84ec5bd85278f653e6f732e7ad53c5651a0a,'\'ClassNA\'','\'MethodNA\'','?',0.6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
406,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/3013916b46d43bf8902d5199c7927b2fd48b8109,fc1562e81facbc40fe42f500237cb13e526bc62c,3013916b46d43bf8902d5199c7927b2fd48b8109,'\'ClassNA\'','\'MethodNA\'','?',0.8,0,0,0,0,0,0,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/fc1562e81facbc40fe42f500237cb13e526bc62c,ab4d1aaf8ce3bcc32eee3992babbf8054d9ffb43,fc1562e81facbc40fe42f500237cb13e526bc62c,'\'ClassNA\'','\'MethodNA\'','?',1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/a26115e2e4c2ab523742a863396df194fc764d71,daac1fb3dd9f3f396cc77b8ba90261a653750356,a26115e2e4c2ab523742a863396df194fc764d71,'\'ClassNA\'','\'MethodNA\'','?',1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
421,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/5aea024a3fa078fd6b9ef0eca390567a6d39592f,d505490aa540f91ff98d58fd35bd5b76db324f4e,5aea024a3fa078fd6b9ef0eca390567a6d39592f,'\'ClassNA\'','\'MethodNA\'','?',1,0,0,0,0,0,0,8,2,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/39ae71c094e890e686e70632fbcbcd3afda986de,14ce9b23000ed1d8598586be8512768869be18b3,39ae71c094e890e686e70632fbcbcd3afda986de,'\'ClassNA\'','\'MethodNA\'','?',0.6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/14ce9b23000ed1d8598586be8512768869be18b3,902ab758fbf302436b2c2a687160508e77b87943,14ce9b23000ed1d8598586be8512768869be18b3,'\'ClassNA\'','\'MethodNA\'','?',0.6,0,0,0,0,0,0,12,1,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
434,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/2ed45e536ca9dad3c96164a575491f46b7b72700,8835e77f7ddcd43427f914ccc192ddd0ace4f0a2,2ed45e536ca9dad3c96164a575491f46b7b72700,'\'ClassNA\'','\'MethodNA\'',cluster3,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/7d330928fe0d120f7416fdafa67b929e06487435,c46702c94736dfa4b33494d14869f0e91c7b5036,7d330928fe0d120f7416fdafa67b929e06487435,'\'ClassNA\'','\'MethodNA\'','?',0.6,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
466,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/164e94d41076bc9e6f0779113dd43f506b4c8f49,54b395053266f637d795a60e8c5c2339662ac973,164e94d41076bc9e6f0779113dd43f506b4c8f49,'\'ClassNA\'','\'MethodNA\'',cluster3,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/54b395053266f637d795a60e8c5c2339662ac973,7baf78b14273829182dd48526e80f3e54b938ba4,54b395053266f637d795a60e8c5c2339662ac973,'\'ClassNA\'','\'MethodNA\'','?',0.8,0,0,0,0,0,4,28,0,0,0,4,0,2,0,0,0,0,28,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
471,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/fc50d3a1a01dd6203c9c04614feadf4573f9794b,7828e7851b72d7190c5171ae563d4252ebf827f8,fc50d3a1a01dd6203c9c04614feadf4573f9794b,'\'ClassNA\'','\'MethodNA\'','?',0.4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
484,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/e546506deafe11ef99570b41c682c8c582bba45b,1d21ace02e9272591949bdd98d862988b77f3169,e546506deafe11ef99570b41c682c8c582bba45b,'\'ClassNA\'','\'MethodNA\'',cluster20,0.6,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,BUG_FIX,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/ce5255298dd2efee1ad2de4dcbdc1702cd056156,d95e42eff2d87c3aa829cc37b0c23f7b24848274,ce5255298dd2efee1ad2de4dcbdc1702cd056156,'\'ClassNA\'','\'MethodNA\'',cluster1,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,OTHER,mediacenterjs,https://github.com/jansmolders86/mediacenterjs/commit/ce0aef68a2f7135f7f9b3ba988d8b07a0ff20949,895647d149735cc00076005a86e3662800732e7d,ce0aef68a2f7135f7f9b3ba988d8b07a0ff20949,'\'ClassNA\'','\'MethodNA\'',cluster3,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
