"","Cluster","nome_coluna","V1"
"21",5,"c(""RESERVED.CONDITION.INSERTED.global.falsey"", ""RESERVED.STATEMENT.UPDATED.global.var"", ""RESERVED.STATEMENT.INSERTED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""RESERVED.ARGUMENT.REMOVED.global.error"")",153
"22",5,"c(""RESERVED.CONDITION.INSERTED.global.falsey"", ""RESERVED.STATEMENT.UPDATED.global.var"", ""RESERVED.STATEMENT.INSERTED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""RESERVED.ARGUMENT.REMOVED.global.error"")",3
"23",5,"c(""RESERVED.CONDITION.INSERTED.global.falsey"", ""RESERVED.STATEMENT.UPDATED.global.var"", ""RESERVED.STATEMENT.INSERTED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""RESERVED.ARGUMENT.REMOVED.global.error"")",1
"24",6,"c(""RESERVED.STATEMENT.INSERTED.global.var"", ""RESERVED.STATEMENT.REMOVED.global.new"")",27
"25",6,"c(""RESERVED.STATEMENT.INSERTED.global.var"", ""RESERVED.STATEMENT.REMOVED.global.new"")",1
"26",7,"c(""METHOD.METHOD_CALL.INSERTED.global.test"", ""RESERVED.STATEMENT.UPDATED.global.var"", ""RESERVED.STATEMENT.UPDATED.global.new"")",24
"27",7,"c(""METHOD.METHOD_CALL.INSERTED.global.test"", ""RESERVED.STATEMENT.UPDATED.global.var"", ""RESERVED.STATEMENT.UPDATED.global.new"")",2
"28",8,"c(""RESERVED.CONDITION.INSERTED.global.true"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""METHOD.METHOD_CALL.REMOVED.global.exec"")",182
"29",8,"c(""RESERVED.CONDITION.INSERTED.global.true"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""METHOD.METHOD_CALL.REMOVED.global.exec"")",3
"30",8,"c(""RESERVED.CONDITION.INSERTED.global.true"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""METHOD.METHOD_CALL.REMOVED.global.exec"")",2
"31",8,"c(""RESERVED.CONDITION.INSERTED.global.true"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""METHOD.METHOD_CALL.INSERTED.global.exec"", ""METHOD.METHOD_CALL.REMOVED.global.exec"")",1
"32",9,"c(""RESERVED.CONDITION.REMOVED.global.error"", ""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.METHOD_CALL.REMOVED.global.error"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"")",45
"33",9,"c(""RESERVED.CONDITION.REMOVED.global.error"", ""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.METHOD_CALL.REMOVED.global.error"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"")",6
"34",9,"c(""RESERVED.CONDITION.REMOVED.global.error"", ""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.METHOD_CALL.REMOVED.global.error"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"")",4
